pubchem_cid	pubchem_url	drugcentral_id	drugcentral_url	glytoucan_ac	glytoucan_url
2309	https://pubchem.ncbi.nlm.nih.gov/compound/2309	295	https://drugcentral.org/drugcard/295		
2310	https://pubchem.ncbi.nlm.nih.gov/compound/2310	3013	https://drugcentral.org/drugcard/3013		
2312	https://pubchem.ncbi.nlm.nih.gov/compound/2312	301	https://drugcentral.org/drugcard/301		
2313	https://pubchem.ncbi.nlm.nih.gov/compound/2313	303	https://drugcentral.org/drugcard/303		
2315	https://pubchem.ncbi.nlm.nih.gov/compound/2315	305	https://drugcentral.org/drugcard/305		
2316	https://pubchem.ncbi.nlm.nih.gov/compound/2316	3015	https://drugcentral.org/drugcard/3015		
2318	https://pubchem.ncbi.nlm.nih.gov/compound/2318	307	https://drugcentral.org/drugcard/307		
2326	https://pubchem.ncbi.nlm.nih.gov/compound/2326	5236	https://drugcentral.org/drugcard/5236		
2327	https://pubchem.ncbi.nlm.nih.gov/compound/2327	314	https://drugcentral.org/drugcard/314		
2333	https://pubchem.ncbi.nlm.nih.gov/compound/2333	318	https://drugcentral.org/drugcard/318		
2335	https://pubchem.ncbi.nlm.nih.gov/compound/2335	3018	https://drugcentral.org/drugcard/3018		
2337	https://pubchem.ncbi.nlm.nih.gov/compound/2337	323	https://drugcentral.org/drugcard/323		
2342	https://pubchem.ncbi.nlm.nih.gov/compound/2342	331	https://drugcentral.org/drugcard/331		
2343	https://pubchem.ncbi.nlm.nih.gov/compound/2343	332	https://drugcentral.org/drugcard/332		
2345	https://pubchem.ncbi.nlm.nih.gov/compound/2345	335	https://drugcentral.org/drugcard/335		
2348	https://pubchem.ncbi.nlm.nih.gov/compound/2348	336	https://drugcentral.org/drugcard/336		
2351	https://pubchem.ncbi.nlm.nih.gov/compound/2351	342	https://drugcentral.org/drugcard/342		
2355	https://pubchem.ncbi.nlm.nih.gov/compound/2355	3021	https://drugcentral.org/drugcard/3021		
2365	https://pubchem.ncbi.nlm.nih.gov/compound/2365	3495	https://drugcentral.org/drugcard/3495		
2366	https://pubchem.ncbi.nlm.nih.gov/compound/2366	346	https://drugcentral.org/drugcard/346		
2368	https://pubchem.ncbi.nlm.nih.gov/compound/2368	359	https://drugcentral.org/drugcard/359		
2369	https://pubchem.ncbi.nlm.nih.gov/compound/2369	356	https://drugcentral.org/drugcard/356		
2370	https://pubchem.ncbi.nlm.nih.gov/compound/2370	358	https://drugcentral.org/drugcard/358		
2372	https://pubchem.ncbi.nlm.nih.gov/compound/2372	360	https://drugcentral.org/drugcard/360		
2375	https://pubchem.ncbi.nlm.nih.gov/compound/2375	367	https://drugcentral.org/drugcard/367		
2377	https://pubchem.ncbi.nlm.nih.gov/compound/2377	369	https://drugcentral.org/drugcard/369		
2378	https://pubchem.ncbi.nlm.nih.gov/compound/2378	370	https://drugcentral.org/drugcard/370		
2381	https://pubchem.ncbi.nlm.nih.gov/compound/2381	374	https://drugcentral.org/drugcard/374		
2391	https://pubchem.ncbi.nlm.nih.gov/compound/2391	375	https://drugcentral.org/drugcard/375		
2405	https://pubchem.ncbi.nlm.nih.gov/compound/2405	380	https://drugcentral.org/drugcard/380		
2406	https://pubchem.ncbi.nlm.nih.gov/compound/2406	3032	https://drugcentral.org/drugcard/3032		
2431	https://pubchem.ncbi.nlm.nih.gov/compound/2431	394	https://drugcentral.org/drugcard/394		
2435	https://pubchem.ncbi.nlm.nih.gov/compound/2435	395	https://drugcentral.org/drugcard/395		
2441	https://pubchem.ncbi.nlm.nih.gov/compound/2441	399	https://drugcentral.org/drugcard/399		
2442	https://pubchem.ncbi.nlm.nih.gov/compound/2442	402	https://drugcentral.org/drugcard/402		
2444	https://pubchem.ncbi.nlm.nih.gov/compound/2444	404	https://drugcentral.org/drugcard/404		
2446	https://pubchem.ncbi.nlm.nih.gov/compound/2446	406	https://drugcentral.org/drugcard/406		
2447	https://pubchem.ncbi.nlm.nih.gov/compound/2447	3038	https://drugcentral.org/drugcard/3038		
2448	https://pubchem.ncbi.nlm.nih.gov/compound/2448	407	https://drugcentral.org/drugcard/407		
2449	https://pubchem.ncbi.nlm.nih.gov/compound/2449	2432	https://drugcentral.org/drugcard/2432		
2451	https://pubchem.ncbi.nlm.nih.gov/compound/2451	409	https://drugcentral.org/drugcard/409		
2453	https://pubchem.ncbi.nlm.nih.gov/compound/2453	412	https://drugcentral.org/drugcard/412		
2461	https://pubchem.ncbi.nlm.nih.gov/compound/2461	3044	https://drugcentral.org/drugcard/3044		
2463	https://pubchem.ncbi.nlm.nih.gov/compound/2463	421	https://drugcentral.org/drugcard/421		
2465	https://pubchem.ncbi.nlm.nih.gov/compound/2465	3046	https://drugcentral.org/drugcard/3046		
2466	https://pubchem.ncbi.nlm.nih.gov/compound/2466	3047	https://drugcentral.org/drugcard/3047		
2467	https://pubchem.ncbi.nlm.nih.gov/compound/2467	422	https://drugcentral.org/drugcard/422		
2468	https://pubchem.ncbi.nlm.nih.gov/compound/2468	423	https://drugcentral.org/drugcard/423		
2471	https://pubchem.ncbi.nlm.nih.gov/compound/2471	427	https://drugcentral.org/drugcard/427		
2472	https://pubchem.ncbi.nlm.nih.gov/compound/2472	429	https://drugcentral.org/drugcard/429		
2473	https://pubchem.ncbi.nlm.nih.gov/compound/2473	430	https://drugcentral.org/drugcard/430		
2474	https://pubchem.ncbi.nlm.nih.gov/compound/2474	432	https://drugcentral.org/drugcard/432		
2475	https://pubchem.ncbi.nlm.nih.gov/compound/2475	433	https://drugcentral.org/drugcard/433		
2477	https://pubchem.ncbi.nlm.nih.gov/compound/2477	437	https://drugcentral.org/drugcard/437		
2478	https://pubchem.ncbi.nlm.nih.gov/compound/2478	438	https://drugcentral.org/drugcard/438		
2479	https://pubchem.ncbi.nlm.nih.gov/compound/2479	439	https://drugcentral.org/drugcard/439		
