cv_id	glytoucan_ac	pubchem_ac
44263858	G51379UR	44263858
44263859	G80926OA	44263859
44263860	G46476BP	44263860
44263861	G20624LQ	44263861
44263864	G92612ZM	44263864
44263865	G64799PD	44263865
443248	G74556OQ	443248
443265	G08545ST	443265
443265	G87575FZ	443265
44405128	G36058ZY	44405128
444173	G76849VA	444173
444200	G28403NS	444200
444314	G71133DJ	444314
444344	G33519UO	444344
44456859	G00054MO	44456859
44457547	G47379VH	44457547
444635	G72548RZ	444635
44472831	G97944IJ	44472831
444863	G85196CF	444863
444885	G50850NI	444885
445037	G17927IW	445037
445063	G76571JT	445063
44520707	G18315LD	44520707
44560080	G62763GO	44560080
445621	G94923PG	445621
445894	G26756OQ	445894
445916	G57226ZS	445916
445935	G98006LH	445935
44610895	G63348GG	44610895
44611016	G64642LS	44611016
44611309	G98335IX	44611309
44611401	G00065MO	44611401
44611450	G13003UU	44611450
44611452	G00057MO	44611452
44611539	G00051MO	44611539
44611588	G28868ZC	44611588
44611726	G65562ZE	44611726
44630447	G83761QN	44630447
446495	G87171PZ	446495
446588	G87251UV	446588
446943	G05026ZL	446943
447182	G57624SJ	447182
447347	G15255MA	447347
448165	G78317QO	448165
448388	G17475NE	448388
448390	G41724ZD	448390
448469	G92323ZH	448469
448702	G29729DF	448702
448924	G06996VN	448924
448925	G08806VI	448925
449462	G35170ES	449462
449526	G85923WX	449526
45259172	G74665DT	45259172
45266781	G40183QN	45266781
45266782	G03006JP	45266782
45266843	G18625KA	45266843
45266844	G02657AK	45266844
45266845	G79389NT	45266845
45266846	G37184KW	45266846
45266861	G46677TE	45266861
45266862	G98544DH	45266862
45266863	G68110IF	45266863
45266894	G92175CL	45266894
45266908	G00052MO	45266908
45480564	G26295XE	45480564
45480566	G35178XK	45480566
45480568	G39211DH	45480568
45480569	G00048MO	45480569
45480570	G92795ML	45480570
45480579	G53868KU	45480579
45480580	G97542CQ	45480580
45480610	G92536LD	45480610
46173715	G73889ZZ	46173715
46173743	G20957WZ	46173743
46224570	G86123DJ	46224570
46224576	G49930HB	46224576
46224578	G98890AB	46224578
46224582	G43697DU	46224582
46224603	G63336AX	46224603
46226523	G64943CI	46226523
46229569	G95902TY	46229569
46236626	G88978UV	46236626
46237286	G73646HZ	46237286
46238071	G71031GX	46238071
46878593	G62056VT	46878593
46878594	G54021WX	46878594
46878595	G68856EP	46878595
46878601	G63363XX	46878601
46906058	G59901EA	46906058
46906074	G33395TI	46906074
46906083	G87315SO	46906083
46906084	G60859DF	46906084
46906085	G45388GV	46906085
46906086	G55958KV	46906086
46906103	G54406UD	46906103
46931125	G27786ED	46931125
46936555	G30590KA	46936555
46940462	G18933GR	46940462
493591	G24381FI	493591
49792066	G72506RN	49792066
49852395	G16612QG	49852395
49852396	G50417QY	49852396
49852424	G55205ZV	49852424
49852447	G47548GA	49852447
49852448	G00066MO	49852448
49852453	G51964GO	49852453
49864523	G79924RM	49864523
49864582	G35932AR	49864582
49864586	G52187WF	49864586
49867276	G23046QV	49867276
50909794	G44688AW	50909794
50909801	G94480CC	50909801
50909802	G01650PH	50909802
50909806	G74917JX	50909806
50909807	G98173LG	50909807
50909809	G50540JU	50909809
50909810	G83916HL	50909810
50909826	G80699WY	50909826
50909828	G55555OK	50909828
50909844	G09955UR	50909844
50909845	G79535HZ	50909845
50991837	G00601UG	50991837
50992085	G47928KI	50992085
50992086	G21066IE	50992086
50992178	G19017MP	50992178
51351650	G15305CQ	51351650
51351664	G78413IP	51351664
51351665	G74780ZE	51351665
51351666	G76595RI	51351666
51351677	G71832QJ	51351677
51351681	G02594WS	51351681
51351691	G31709QL	51351691
51351696	G59945HS	51351696
51351725	G97100OC	51351725
51351731	G10430NG	51351731
51351734	G29570QA	51351734
51351759	G59103JC	51351759
51351763	G83621YS	51351763
51351770	G41383WH	51351770
51351775	G29751MN	51351775
51351800	G36123IU	51351800
51351801	G47773BX	51351801
51351802	G84596VQ	51351802
51351803	G60268QL	51351803
51351805	G04941YC	51351805
51546380	G68596GJ	51546380
5279514	G00049MO	5279514
5279515	G00059MO	5279515
5287767	G41202OE	5287767
5287768	G00152LK	5287768
5287771	G75242TK	5287771
