id	glytoucan_ac
71297427	G00706QN
71297428	G62574BY
71297429	G34622QG
71297430	G12526AB
71297431	G74949YP
71297432	G08043ID
71297433	G51209GW
71297434	G52547JZ
71297435	G87668ED
71297436	G72108VJ
71297437	G56175ED
71297438	G30915AU
71297439	G70308HL
71297440	G09319JK
71297441	G03834RX
71297442	G70548CP
71297443	G65984FE
71297444	G87773EB
71297445	G87777GG
71297446	G78342SP
71297447	G03851WA
71297449	G38371WW
71297450	G17160IJ
71297451	G79643VQ
71297453	G76241TN
71297454	G47675LW
71297455	G75584LU
71297456	G56653RI
71297457	G44770ZI
71297458	G60956VN
71297459	G87695KR
71297460	G78681QL
71297461	G98855LF
71297462	G79083TK
71297463	G81358TE
71297464	G11960UF
71297465	G28720MP
71297466	G79198HM
71297467	G45256SO
71297468	G91247WI
71297469	G03654ML
71297470	G40735XY
71297471	G60653VD
71297472	G91074JT
71297473	G41812FF
71297474	G49369WH
71297475	G22146HW
71297476	G59149SL
71297477	G21627CA
71297478	G02915XR
71297479	G07098TP
71297480	G68651MF
71297481	G68679LW
71297482	G30542PN
71297483	G83644CC
71297484	G25787HL
71297485	G95782RB
71297486	G58955OJ
71297487	G86504RY
71297488	G01685IB
71297489	G71320DE
71297490	G45217YN
71297491	G15518HO
71297492	G81013EK
71297493	G17460MY
71297494	G40915GX
71297495	G83948CA
71297496	G97023FS
71297497	G48466UB
71297498	G03250GT
71297499	G56756FT
71297500	G23824XF
71297501	G41178NB
71297502	G73051OD
71297504	G93686CT
71297505	G80142NN
71297506	G06371NP
71297507	G79499QH
71297508	G00383KP
71297511	G29965VW
71297512	G92848QA
71297513	G86386QT
71297514	G04445KN
71297515	G17336FF
71297516	G10106TL
71297517	G10881VB
71297518	G79249GP
71297520	G21005TQ
71297521	G12715AH
71297522	G61717JN
71297523	G39893KL
71297524	G92257YN
71297525	G18160VJ
71297526	G69071XF
71297529	G44618FI
71297530	G56163DR
71297531	G55481KF
71297532	G05319BS
71297533	G53923UR
71297534	G37986HU
71297535	G24668UI
71297536	G70387YT
71297537	G79781PS
71297538	G35692YN
71297543	G36859SD
71297544	G57626SM
71297545	G44754DF
71297546	G91599FN
71297547	G93624ZP
71297549	G24585JV
71297550	G70851FQ
71297551	G29024OJ
71297552	G53582JE
71297553	G37827FY
71297554	G22587DK
71297555	G55953GF
71297562	G50880EE
71297563	G67223RN
71297564	G71782CJ
71297565	G54380FJ
71297566	G19447ZX
71297567	G62364JZ
71297568	G06250ZP
71297569	G44023GI
71297574	G59810YR
71297576	G93746CY
71297577	G65855MN
71297578	G63480NF
71297579	G67915MO
71297580	G34612DX
71297581	G98292JT
71297582	G17029IU
71297583	G84287MH
71297584	G84329MX
71297585	G49664YG
71297586	G92575UZ
71297587	G20079RG
71297588	G54764AV
71297589	G72369ZI
71297590	G04820ZT
71297591	G92413DG
71297592	G38373BD
71297593	G28882QV
71297594	G03681UF
71297595	G87854BA
71297596	G21927IY
71297597	G14942ZU
71297598	G36171JA
71297599	G07322RE
71297600	G62519IY
71297601	G69485SE
71297602	G95997CK
71297603	G69121YI
71297604	G44996SV
71297605	G54411RI
71297606	G17172ZR
71297607	G72460OS
71297608	G97130PD
71297609	G09125WG
71297610	G94926TV
71297611	G30857WQ
71297612	G81153QC
71297613	G07292LK
71297614	G51795VM
71297615	G95223JW
71297616	G03652TR
